"Pakistan","Province","District","Tehsil"
"Pakistan","Punjab","Bahawalnagar (Punjab)","Bahawalnagar (Punjab)"
"Pakistan","","","Chishtian (Punjab)"
"Pakistan","","","Fort Abbas (Punjab)"
"Pakistan","","","Haroonabad (Punjab)"
"Pakistan","","","Minchinabad (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Bahawalpur (Punjab)","Bahawalpur (Punjab)"
"Pakistan","","","Ahmadpur East (Punjab)"
"Pakistan","","","Hasilpur (Punjab)"
"Pakistan","","","Khairpur Tamewali (Punjab)"
"Pakistan","","","Yazman (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Rahim Yar Khan (Punjab)","Rahim Yar Khan (Punjab)"
"Pakistan","","","Liaquatpur (Punjab)"
"Pakistan","","","Khanpur (Punjab)"
"Pakistan","","","Sadiqabad (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Dera Ghazi Khan (Punjab)","Dera Ghazi Khan (Punjab)"
"Pakistan","","","Kot Chutta (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Layyah (Punjab)","Layyah (Punjab)"
"Pakistan","","","Chaubara (Punjab)"
"Pakistan","","","Karor Lal Esan (Punjab)"
"Pakistan","","",""
"Pakistan","","Taunsa Sharif (Punjab)","Taunsa Sharif (Punjab)"
"Pakistan","","","koh-e-Suleman (Punjab)"
"Pakistan","","","Vehova (Punjab)"
"Pakistan","","",""
"Pakistan","","Muzaffargarh (Punjab)","Muzaffargarh (Punjab)"
"Pakistan","","","Alipur (Punjab)"
"Pakistan","","","Jatoi (Punjab)"
"Pakistan","","",""
"Pakistan","","Kot Addu (Punjab)","Kot Addu (Punjab)"
"Pakistan","","","Chowk Sarwar Shaheed (Punjab)"
"Pakistan","","",""
"Pakistan","","Rajanpur (Punjab)","Rajanpur (Punjab)"
"Pakistan","","","Rojhan (Punjab)"
"Pakistan","","",""
"Pakistan","","Jampur (Punjab)","Jampur (Punjab)"
"Pakistan","","","Muhammadpur (Punjab)"
"Pakistan","","","Dajal (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Chiniot (Punjab)","Chiniot (Punjab)"
"Pakistan","","","Bhawana (Punjab)"
"Pakistan","","","Lalian (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Faisalabad (Punjab)","Faisalabad (Punjab)"
"Pakistan","","","Jaranwala (Punjab)"
"Pakistan","","","Sammundri (Punjab)"
"Pakistan","","","Tandlianwala (Punjab)"
"Pakistan","","","Chak Jhumra (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Jhang (Punjab)","Jhang (Punjab)"
"Pakistan","","","Ahmedpur Sial (Punjab)"
"Pakistan","","","Athara Hazari (Punjab)"
"Pakistan","","","Shorkot (Punjab)"
"Pakistan","","","Mandi Shah Jeewna (Punjab)"
"Pakistan","","",""
"Pakistan","","Toba Tek Singh (Punjab)","Toba Tek Singh (Punjab)"
"Pakistan","","","Gojra (Punjab)"
"Pakistan","","","Kamalia (Punjab)"
"Pakistan","","","Pir Mahal (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Gujranwala (Punjab)","Gujranwala (Punjab)"
"Pakistan","","","Kamoke (Punjab)"
"Pakistan","","","Nowshera Virkan (Punjab)"
"Pakistan","","",""
"Pakistan","","Wazirabad (Punjab)","Wazirabad (Punjab)"
"Pakistan","","","Ali Pur Chattha (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Gujrat (Punjab)","Gujrat (Punjab)"
"Pakistan","","","Kharian (Punjab)"
"Pakistan","","","Sarai Alamgir (Punjab)"
"Pakistan","","","Jalal pur Jattan (Punjab)"
"Pakistan","","","Kunjah (Punjab)"
"Pakistan","","",""
"Pakistan","","Hafizabad (Punjab)","Hafizabad (Punjab)"
"Pakistan","","","Pindi Bhattian (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Mandi Bahauddin (Punjab)","Mandi Bahauddin (Punjab)"
"Pakistan","","","Malakwal (Punjab)"
"Pakistan","","","Phalia (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Narowal (Punjab)","Narowal (Punjab)"
"Pakistan","","","Shakargarh (Punjab)"
"Pakistan","","","Zafarwal (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Sialkot (Punjab)","Sialkot (Punjab)"
"Pakistan","","","Daska (Punjab)"
"Pakistan","","","Pasrur (Punjab)"
"Pakistan","","","Sambrial (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Kasur (Punjab)","Kasur (Punjab)"
"Pakistan","","","Chunian (Punjab)"
"Pakistan","","","Kot Radha Kishan (Punjab)"
"Pakistan","","","Pattoki (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Lahore (Punjab)","Lahore (Punjab)"
"Pakistan","","","Lahore Cantt (Punjab)"
"Pakistan","","","Lahore Model Town (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Nankana Sahib (Punjab)","Nankana Sahib (Punjab)"
"Pakistan","","","Sangla Hill (Punjab)"
"Pakistan","","","Shahkot (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Sheikhupura (Punjab)","Sheikhupura (Punjab)"
"Pakistan","","","Firozwala (Punjab)"
"Pakistan","","","Safdarabad (Punjab)"
"Pakistan","","","Sharaqpur (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Khanewal (Punjab)","Khanewal (Punjab)"
"Pakistan","","","Jehanian (Punjab)"
"Pakistan","","","Kabirwala (Punjab)"
"Pakistan","","","Mian Channu (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Lodhran (Punjab)","Lodhran (Punjab)"
"Pakistan","","","Dunyapur (Punjab)"
"Pakistan","","","Kahror Pakka (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Multan (Punjab)","Multan (Punjab)"
"Pakistan","","","Shujabad (Punjab)"
"Pakistan","","","Jalalpur Pirwala (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Vehari (Punjab)","Vehari (Punjab)"
"Pakistan","","","Burewala (Punjab)"
"Pakistan","","","Mailsi (Punjab)"
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","",""
"Pakistan","","Attock (Punjab)","Attock (Punjab)"
"Pakistan","","","Fateh Jang (Punjab)"
"Pakistan","","","Hassan Abdal (Punjab)"
"Pakistan","","","Hazro (Punjab)"
